ac,floored charge rate,sd/a
6.069672131,5,0.000477812
6.069672131,5,0.000469662
6.069672131,5,0.000478888
6.069672131,5,0.000622219
6.069672131,5,0.000716537
6.069672131,5,0.000779819
6.069672131,5,0.000571263
6.069672131,5,0.000422705
6.06557377,5,0.000489252
6.06557377,5,0.000412804
6.06557377,5,0.000243758
6.069672131,5,0.00031289
6.06557377,5,0.000314936
6.06557377,5,0.00031292
6.069672131,5,0.000469381
6.069672131,5,0.000564652
6.06557377,5,0.000485697
6.069672131,5,0.00050678
6.069672131,5,0.000485588
6.069672131,5,0.000506346
6.069672131,5,0.00045795
6.069672131,5,0.000400636
6.069672131,5,0.0004202
6.069672131,5,0.000410866
6.069672131,5,0.000422705
6.06557377,5,0.000489252
6.069672131,5,0.000400151
6.069672131,5,0.000238746
6.069672131,5,0.000238746
6.069672131,5,0.000238746
6.069672131,5,0.000238746
6.069672131,5,0.000400151
6.069672131,5,0.000489252
6.073770492,5,0.000578101
6.073770492,5,0.000667678
6.073770492,5,0.00069126
6.073770492,5,0.000656073
6.077868852,5,0.000540154
6.077868852,5,0.000297036
6.077868852,5,0.000228173
6.081967213,5,0.000221137
6.081967213,5,0.00028683
6.086065574,5,0.000875594
6.081967213,5,0.000979696
6.081967213,5,0.001021022
6.090163934,5,0.001210224
6.090163934,5,0.001228777
6.094262295,5,0.001200176
6.094262295,5,0.001035545
6.094262295,5,0.000703309
6.098360656,5,0.000756151
6.102459016,5,0.00075136
6.106557377,5,0.000730244
6.106557377,5,0.000839412
6.114754098,5,0.001049485
6.114754098,5,0.001191427
6.12295082,5,0.001374466
6.12704918,5,0.00144489
6.12704918,5,0.001400943
6.135245902,5,0.001387365
6.139344262,5,0.001437879
6.151639344,5,0.001706471
6.159836066,5,0.002108843
6.159836066,5,0.0021109
6.163934426,5,0.002200816
6.176229508,5,0.002817171
6.18442623,5,0.003194514
6.18442623,5,0.00314865
6.192622951,5,0.003009458
6.192622951,5,0.00285035
6.196721311,5,0.00271754
6.196721311,5,0.002192244
6.196721311,5,0.001222751
6.196721311,5,0.000866517
6.192622951,5,0.000684929
6.196721311,5,0.000342379
6.192622951,5,0.000342379
6.192622951,5,0.000342379
6.192622951,5,0.000353637
6.196721311,5,0.000353637
6.196721311,5,0.000353637
6.196721311,5,0.000353637
6.196721311,5,0.000408701
6.196721311,5,0.000459215
6.196721311,5,0.000443089
6.204918033,5,0.000684141
6.204918033,5,0.000731533
6.196721311,5,0.000731533
6.196721311,5,0.000731533
